,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.0,1782.4,1921.1,245.2,1469.9,1622.7,1324.8,1440.9,1217.2,1525.5,1491.4,1140.3,1205.1,1705.8,1778.9,1810.9,1657.1,1731.9,1805.0,1763.7,1682.5,1652.5,1358.5,1394.8,1224.0,1180.1,1594.0,1074.1,1411.2,1364.4,1340.3,1677.6,1522.0,1505.8,1687.2,1701.9,1477.7,1655.9,1838.1,1596.7,1772.2,1481.9,1322.1,1267.2,1246.6,1280.0,1813.3,1317.3,1838.9,1157.1,1869.3,1784.6,1352.2,1692.6,1871.5,1340.7,1105.1,1771.0,1546.0,1180.3,1493.0,1351.2,1326.9,1485.1,1460.4,1538.7,1674.1,1422.6,1639.0,1371.1
1,1782.4,0.0,349.0,1823.1,1067.9,1204.0,786.6,780.5,917.8,671.2,769.9,838.0,870.1,836.6,1360.2,512.2,1238.4,567.9,1401.3,1374.3,1268.1,1239.3,993.0,807.6,902.0,858.1,1130.0,830.6,996.8,999.4,921.6,1610.5,434.9,1087.1,1272.8,1185.9,558.1,641.6,1324.7,528.3,366.5,1063.2,584.6,609.5,697.5,851.3,297.9,939.7,1389.4,833.2,185.5,1224.8,933.5,240.8,400.6,922.0,1484.0,1352.3,591.7,828.8,1074.3,779.0,887.6,1037.0,1015.3,307.1,676.2,693.2,598.9,699.0
2,1921.1,349.0,0.0,1963.2,1208.0,1344.1,834.3,828.2,965.5,718.9,817.6,978.1,1010.2,979.5,1500.3,622.8,1378.5,615.6,1449.0,1431.2,1408.2,1366.6,1109.3,855.3,1028.9,998.2,1177.7,970.7,1136.9,1107.1,1061.7,1750.6,575.0,1227.2,1323.3,1233.6,698.2,689.3,1372.4,668.4,505.3,1203.3,724.7,749.6,837.6,963.2,450.2,1079.8,1437.1,973.3,328.4,1272.5,1073.6,404.8,448.3,1062.1,1624.1,1492.4,731.8,968.9,1214.4,919.1,935.3,1084.7,1063.0,447.2,723.9,833.3,646.6,839.1
3,245.2,1823.1,1963.2,0.0,1224.7,1377.5,1079.6,1195.7,972.0,1280.3,1246.2,895.1,959.9,1460.6,1533.7,1565.7,1411.9,1486.7,1559.8,1518.5,1437.3,1407.3,1113.3,1149.6,978.8,934.9,1348.8,828.9,1166.0,1119.2,1095.1,1432.4,1276.8,1260.6,1442.0,1456.7,1232.5,1410.7,1592.9,1351.5,1527.0,1236.7,1076.9,1022.0,1001.4,1034.8,1568.1,1072.1,1593.7,911.9,1624.1,1539.4,1107.0,1447.4,1626.3,1095.5,859.9,1525.8,1300.8,935.1,1247.8,1106.0,1081.7,1239.9,1215.2,1293.5,1428.9,1177.4,1393.8,1125.9
4,1469.9,1067.9,1208.0,1224.7,0.0,550.0,609.1,679.6,487.4,659.9,782.0,520.9,346.5,1009.5,674.6,1071.5,600.4,869.5,531.0,442.8,334.3,233.2,226.4,377.2,355.6,311.7,189.2,407.4,193.6,297.2,249.9,865.6,825.7,457.8,269.3,297.2,781.4,940.8,465.2,900.4,991.6,393.0,625.8,570.9,629.5,589.5,1040.6,245.3,610.0,518.0,1173.0,366.7,239.1,996.3,1005.9,251.8,1118.9,732.6,849.7,563.2,454.6,675.7,560.4,254.4,260.8,842.4,817.7,726.3,828.1,674.8
5,1622.7,1204.0,1344.1,1377.5,550.0,0.0,896.8,1012.8,813.4,1017.9,948.5,719.6,564.3,1162.9,375.1,1268.0,190.7,1189.0,247.0,208.2,258.5,386.2,653.6,760.2,698.9,655.0,561.9,669.4,362.6,700.9,454.1,488.5,979.1,210.5,434.0,508.4,934.8,1113.0,321.4,1053.8,1229.3,339.6,779.2,724.3,782.9,851.8,1270.4,450.5,402.9,676.0,1326.4,426.1,444.3,1149.7,1388.9,419.0,1314.8,370.6,1003.1,716.6,216.2,885.5,921.6,742.8,726.0,995.8,1131.2,879.7,1096.1,828.2
6,1324.8,786.6,834.3,1079.6,609.1,896.8,0.0,201.3,180.9,305.5,366.4,265.3,441.1,951.3,927.7,720.6,890.3,484.6,875.0,857.2,812.8,718.7,387.7,276.2,310.2,326.6,481.9,310.1,647.2,390.0,573.5,1262.4,654.5,739.0,675.4,588.4,576.3,525.2,798.4,611.9,640.7,715.1,561.6,506.7,426.8,301.4,689.7,553.3,863.1,396.5,886.7,685.2,585.4,798.6,655.0,573.9,980.4,1004.2,741.8,334.1,726.2,404.9,203.2,366.5,341.8,781.0,426.8,485.6,429.9,526.2
7,1440.9,780.5,828.2,1195.7,679.6,1012.8,201.3,0.0,311.7,206.2,250.5,336.3,562.5,869.5,978.0,651.3,930.8,390.1,925.3,907.5,924.3,842.9,518.5,331.6,441.0,457.4,612.7,440.9,689.2,520.8,614.0,1302.9,538.2,779.5,799.6,709.9,460.0,408.9,848.7,497.6,578.1,755.6,445.3,390.4,336.1,199.3,642.4,632.1,913.4,525.6,839.4,748.8,625.9,751.3,607.7,614.4,1105.5,1044.7,625.5,389.3,766.7,288.6,334.0,497.3,472.6,684.2,332.3,369.3,328.4,409.9
8,1217.2,917.8,965.5,972.0,487.4,813.4,180.9,311.7,0.0,338.7,401.0,253.6,407.5,939.6,913.5,750.3,878.6,519.2,860.8,843.0,798.6,704.5,373.5,262.0,284.2,293.8,467.7,276.5,613.6,375.8,561.8,1250.7,689.8,727.3,661.2,574.2,611.0,560.5,784.2,641.6,670.4,703.4,555.9,501.0,415.1,310.7,719.4,519.7,848.9,362.9,916.4,671.0,573.7,828.3,684.7,562.2,947.9,990.6,760.3,322.4,714.5,396.9,189.0,352.3,327.6,772.5,461.4,520.3,464.5,532.1
9,1525.5,671.2,718.9,1280.3,659.9,1017.9,305.5,206.2,338.7,0.0,191.5,442.7,610.2,811.5,989.6,546.2,993.1,285.0,936.9,919.1,935.9,854.5,563.4,343.2,485.9,496.5,657.6,479.2,751.5,565.7,676.3,1355.7,487.4,841.8,811.2,721.5,402.0,358.1,860.3,446.8,473.0,817.9,387.3,332.4,370.9,299.4,530.0,694.4,925.0,565.6,727.0,760.4,688.2,638.9,495.3,676.7,1150.6,1066.7,574.7,496.1,829.0,281.5,378.9,542.2,517.5,612.4,227.2,311.3,237.6,351.9
