,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,0.0,21013.0,21521.5,1321.7,11194.6,15024.1,10223.6,11373.5,9143.8,13982.9,13117.6,8177.1,8961.9,15167.9,17617.5,17725.6,16272.4,15796.6,16594.6,14226.3,12666.7,12510.0,10395.7,11214.2,9274.0,8786.0,12275.5,7701.5,10685.1,10251.2,11507.7,15525.4,15201.1,13841.3,12796.5,12922.2,13168.1,14792.0,14738.8,15934.9,17863.9,12474.3,11649.5,11056.7,9453.9,9474.8,18862.9,9880.4,18627.2,8093.8,22140.0,13508.1,11518.5,19037.4,20428.5,11531.2,7080.3,17470.8,13459.9,8253.5,13795.4,10283.0,10176.3,11907.6,11674.4,16765.7,15140.6,12354.7,14853.0,11863.8
1,21013.0,0.0,3936.4,21436.3,18015.5,20449.0,12817.1,12130.1,13977.0,11055.8,10529.6,14135.8,15969.7,10137.7,23042.4,4927.0,21697.3,8381.9,20399.5,22683.9,19485.2,19286.5,17046.7,14109.0,15993.4,15505.4,17320.1,15038.3,17503.6,17217.3,16932.6,26461.0,6982.1,19266.2,19615.0,17713.9,8146.9,9133.0,19554.8,6363.6,4105.0,17899.2,9772.9,10518.6,11499.2,13079.5,3251.5,17028.0,20486.4,14183.4,2243.6,18676.1,16943.4,2795.5,5269.2,16956.0,21359.2,22895.7,8184.1,13764.4,19220.3,12224.2,14396.8,16342.5,15659.5,4463.4,9656.1,9491.2,8867.5,9559.3
2,21521.5,3936.4,0.0,22648.3,19227.5,21661.0,12942.0,12255.0,14101.9,11180.7,10654.5,15347.8,17181.7,11215.3,24254.4,6569.6,22909.3,8506.8,20524.4,20089.2,20697.2,19003.0,16862.1,14233.9,16064.0,16717.3,17445.0,16250.3,18715.6,16490.9,18144.6,27673.0,8194.1,20478.2,18652.2,17838.8,9358.9,9257.9,19679.7,7575.6,6006.9,19111.2,10984.9,11730.6,12711.2,14056.6,5280.1,18240.0,20611.3,15395.4,3321.2,18801.0,18155.4,3418.8,5394.1,18168.0,22571.2,24107.7,9396.1,14976.4,20432.2,13436.2,14521.7,16467.4,15784.4,5675.4,9781.0,10703.2,8992.4,10771.3
3,1321.7,21436.3,22648.3,0.0,9873.0,13702.5,8902.0,10051.9,7822.1,12661.3,11795.9,6855.4,7640.2,13846.2,16295.9,16404.0,14950.8,14475.0,15272.9,12904.6,11345.0,11188.4,9074.0,9892.5,7952.4,7464.4,10953.8,6379.8,9363.4,8929.5,10186.1,14203.8,13879.5,12519.7,11474.8,11600.6,11846.4,13470.3,13417.1,14613.3,16542.2,11152.7,10327.8,9735.0,8132.2,8153.1,17541.2,8558.7,17305.5,6772.2,20818.3,12186.5,10196.9,17715.8,19106.9,10209.5,5758.7,16149.1,12138.3,6931.8,12473.7,8961.4,8854.6,10585.9,10352.7,15444.0,13818.9,11033.0,13531.3,10542.2
4,11194.6,18015.5,19227.5,9873.0,0.0,3865.1,4934.5,7517.2,3774.6,8155.6,8987.0,4525.2,2886.8,12233.9,6681.8,12453.4,4521.7,10155.8,3904.1,3276.5,2432.4,1712.7,1658.3,3525.3,2943.9,2455.9,1475.2,3532.5,1503.2,2312.8,2025.0,8276.5,12267.2,3220.7,1997.1,2121.1,10234.1,10721.3,3424.0,13001.0,13658.3,2991.6,8715.6,8122.7,7100.4,4887.2,13861.9,1873.7,5975.0,4229.6,19206.1,2708.8,1789.1,16103.5,14601.2,2048.5,10995.8,8008.7,10526.0,5900.0,4333.3,5696.0,4423.3,1984.0,2062.3,13831.7,9663.4,9420.8,9777.0,8929.9
5,15024.1,20449.0,21661.0,13702.5,3865.1,0.0,11096.7,12179.0,10175.2,13980.3,13137.5,9050.2,4446.3,15187.8,2787.4,17745.6,1371.0,15816.6,1703.4,1430.7,1765.2,2906.4,4761.0,7017.1,8271.5,7783.5,4204.9,7653.8,2658.3,5693.9,3557.0,5525.2,15221.1,1501.7,3261.9,3744.1,13188.0,14811.9,2269.8,15954.9,17883.9,2440.3,11669.4,11076.6,10054.3,10347.6,18882.8,3427.9,2952.3,8416.4,22160.0,3401.5,3343.3,19057.4,18093.0,3218.9,16385.1,3032.0,13479.9,8853.9,1602.1,12623.6,11240.0,6021.3,5903.1,16785.6,15160.5,12374.7,14873.0,11883.8
6,10223.6,12817.1,12942.0,8902.0,4934.5,11096.7,0.0,1859.1,1489.1,2806.3,3239.5,2496.4,4660.7,10730.1,9940.0,7621.1,11677.9,4761.0,9146.2,8711.0,6879.8,6388.5,3869.4,2974.8,3153.8,3409.9,4436.0,3400.3,6383.9,3497.7,6913.2,16441.6,6475.9,9246.8,6037.7,5204.5,5411.6,4599.7,8301.5,7487.9,8826.0,7879.8,5390.8,4798.0,4537.0,2486.2,9029.7,5579.2,9233.2,3942.4,13824.5,6012.0,6924.0,11277.8,9769.0,6936.6,10224.4,12876.2,7115.6,3040.6,9200.8,3225.0,1605.0,3668.2,3435.0,10145.8,4104.9,4261.3,3944.1,4701.5
7,11373.5,12130.1,12255.0,10051.9,7517.2,12179.0,1859.1,0.0,2643.7,1491.4,1776.0,3095.7,7197.4,7927.7,11275.7,5809.6,12925.0,3686.7,10481.9,10046.7,10019.5,8960.5,5023.9,4191.5,4308.4,4564.5,5590.6,4554.9,8731.3,4652.3,8160.3,17688.7,5326.5,10494.0,8609.8,7796.4,4262.2,3450.4,9637.2,4771.6,5939.9,9126.9,4241.5,3648.6,2793.2,1828.3,8006.3,8255.7,10568.8,5411.1,12801.1,8758.5,8171.1,10254.4,8745.6,8183.8,11372.3,14123.4,5966.3,3640.2,10448.0,2075.6,2759.6,4822.8,4589.6,6478.1,3030.6,3111.9,2805.3,3552.1
8,9143.8,13977.0,14101.9,7822.1,3774.6,10175.2,1489.1,2643.7,0.0,4268.1,3862.2,2124.4,3957.5,10358.1,9545.7,8565.9,11305.9,5383.7,8751.9,8316.8,6485.6,5994.2,3475.1,2580.5,2596.0,2707.1,4041.7,2697.1,5680.7,3103.5,6541.2,16069.6,6902.5,8874.8,5643.4,4810.3,6407.2,5026.4,7907.3,8432.7,9770.8,7507.8,6839.7,6246.9,4165.0,2639.1,9974.4,4876.0,8838.9,3239.2,14769.2,5617.7,6552.0,12222.5,10713.7,6564.6,9676.8,10065.2,7630.6,2668.6,8828.8,3447.9,1210.8,3273.9,3040.7,11955.9,4727.6,5256.8,4566.8,5087.0
9,13982.9,11055.8,11180.7,12661.3,8155.6,13980.3,2806.3,1491.4,4268.1,0.0,1476.2,4112.0,6331.5,7687.9,11479.7,4931.5,14546.8,2808.7,10686.0,10250.8,10223.6,9164.6,5767.6,4395.5,5052.0,5081.1,6334.2,5071.1,10353.1,5396.0,9782.1,15733.3,5086.7,12115.7,8813.8,8000.4,4022.4,3210.5,9841.3,4531.8,5061.8,10748.7,4001.6,3408.8,3531.4,2848.2,6932.7,9877.5,10772.9,5613.2,11727.5,8962.6,9792.9,9180.8,7672.0,9805.5,12050.7,11999.2,5726.4,4660.2,12069.7,2810.8,3503.3,5566.4,5333.2,6377.6,2152.6,2872.1,2266.2,3312.3
